Gads;Menesis;Diena;gh_id;value;name;lon;lat;elevation;x;y;to_sea;cont_tas;h1;h5;h10
2023;2;25;RIAI99PA;-1.7;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;26;RIAI99PA;-4.0;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;27;RIAI99PA;-5.0;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;2;28;RIAI99PA;1.3;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;1;RIAI99PA;0.9;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;2;RIAI99PA;1.4;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;3;RIAI99PA;1.6;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;4;RIAI99PA;0.0;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;5;RIAI99PA;-1.2;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;6;RIAI99PA;-1.7;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;7;RIAI99PA;-3.4;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;8;RIAI99PA;-0.6;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;9;RIAI99PA;-6.4;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;10;RIAI99PA;-7.7;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;11;RIAI99PA;-4.5;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;12;RIAI99PA;-1.3;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;13;RIAI99PA;0.3;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;14;RIAI99PA;6.4;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;15;RIAI99PA;2.6;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;16;RIAI99PA;-0.1;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;17;RIAI99PA;-0.6;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;18;RIAI99PA;6.4;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;19;RIAI99PA;5.8;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;20;RIAI99PA;5.7;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;21;RIAI99PA;1.9;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;22;RIAI99PA;4.0;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;23;RIAI99PA;6.4;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;24;RIAI99PA;6.2;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;25;RIAI99PA;5.5;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;26;RIAI99PA;4.9;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;27;RIAI99PA;1.8;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;28;RIAI99PA;0.1;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;29;RIAI99PA;-0.3;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;30;RIAI99PA;-0.2;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;3;31;RIAI99PA;1.3;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;4;1;RIAI99PA;0.9;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;4;2;RIAI99PA;1.1;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;4;3;RIAI99PA;0.1;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
2023;4;4;RIAI99PA;0.5;Ainazi;24.36596667;57.86790278;6.32;521323.7198;414432.061;467.84723018;21.3011578664749;3.781;5.71281305651;10.5947236552
